rank,id,title,title_en,authors,artists,tags,publication_demographic,status,year,content_rating,original_language,follows,rating_average,rating_bayesian,comments_replies_count,related_count,related
232,25e1d17b-6a4d-4698-a4f6-bf53460c10af,Futari Bus,Bus For Two,Toyobayashi Sakane,Toyobayashi Sakane,Romance; Comedy; School Life; Slice of Life,shounen,ongoing,2025.0,safe,ja,41194,9.2866,9.24636865371149,58,0,[]
233,b2ca4e0e-a7d7-4c98-bfa3-c771c643bb68,"Doukyonin wa Hiza, Tokidoki, Atama no Ue.",My Roommate Is a Cat,Tsunami Minatsuki,Futatsuyu As,Animals; Comedy; Drama; Slice of Life,shoujo,ongoing,2014.0,safe,ja,10250,9.413,9.244896720787205,62,0,[]
234,192aa767-2479-42c1-9780-8d65a2efd36a,Gachiakuta,Gachiakuta,Urana Kei,Urana Kei,Monsters; Action; Comedy; Survival; Drama; Fantasy; Delinquents; Supernatural; Tragedy,shounen,ongoing,2022.0,suggestive,ja,82523,9.2627,9.243387365575034,50,0,[]
235,832a84fc-5644-40d3-94db-d9b23bda1173,Stargazing Dog,Stargazing Dog,Murakami Takashi,Murakami Takashi,Animals; Drama; Slice of Life; Tragedy,seinen,completed,2008.0,safe,ja,4046,9.3344,9.243110144914642,64,0,[]
236,a3e48f50-d3d1-4d08-b54a-a3b7ad4b0801,Yaiteru Futari,How to Grill Our Love,Hanatsuka Shiori,Hanatsuka Shiori,Romance; Office Workers; Slice of Life; Cooking,seinen,completed,2020.0,safe,ja,60349,9.2734,9.241999498709509,221,0,[]
237,21f54bc1-aefd-4be1-8284-5858b1df0e55,Initial D,Initial D,Shigeno Shuuichi,Shigeno Shuuichi,Action; Sports; Drama; Slice of Life,seinen,completed,1995.0,safe,ja,8798,9.4088,9.24189902129302,28,7,"[{""id"": ""5f7b46a4-c807-4a92-9a3e-c6055c373b67"", ""relation"": ""sequel"", ""title"": ""Subaru to Subaru""}, {""id"": ""73558022-0a2b-416f-99eb-cf13882fdb59"", ""relation"": ""doujinshi"", ""title"": ""Initial D - Densha de D (Doujinshi)""}, {""id"": ""8196a94f-e491-40ce-929f-ea13aaadb930"", ""relation"": ""side_story"", ""title"": ""Initial D - Sentimental White""}, {""id"": ""aee0e62e-ec0e-4d81-9a98-6dbddf16b1f7"", ""relation"": ""side_story"", ""title"": ""Initial D - Green Departure""}, {""id"": ""c96f1bf8-a100-40bb-98ef-c240b9b7cf96"", ""relation"": ""shared_universe"", ""title"": ""MF Ghost""}, {""id"": ""cddfcc26-b5e7-4500-8bc8-74eeef5f372c"", ""relation"": ""doujinshi"", ""title"": null}, {""id"": ""f24d960c-f4db-42a7-83c4-7d1a3cb0ae58"", ""relation"": ""doujinshi"", ""title"": null}]"
238,1090afe3-3b91-4325-a9b4-d92875aa815e,BLUE GIANT,Blue Giant,Ishizuka Shinichi,Ishizuka Shinichi,Award Winning; Psychological; Romance; Comedy; Drama; School Life; Slice of Life; Music,seinen,completed,2013.0,safe,ja,8653,9.4427,9.241051648615224,57,1,"[{""id"": ""a2b2d55a-4ce8-44fe-9232-d07aad412f63"", ""relation"": ""sequel"", ""title"": ""BLUE GIANT SUPREME""}]"
239,4e7a7758-40a9-47e6-9b0c-2acb2804900c,Bring the Love,Bring the Love,제스트쿄 (zestkyō),제스트쿄 (zestkyō),Historical; Long Strip; Romance; Comedy; Drama; Web Comic; Full Color,josei,completed,2019.0,safe,ko,26091,9.2819,9.237946993689615,875,0,[]
240,9f73124c-ecfa-49f7-b4e4-0c699cc65957,Jishou Akuyaku Reijou na Tsuma no Kansatsu Kiroku,An Observation Log of My Wife Who Calls Herself a Villainess,Shiki (しき) (Author),Hasumi Natsume,Reincarnation; Romance; Comedy; Isekai; Fantasy; Villainess; Slice of Life; Adaptation,shoujo,ongoing,2022.0,safe,ja,17329,9.3464,9.235977187020536,24,1,"[{""id"": ""60e6eb5e-6798-4614-928f-064e65aabe16"", ""relation"": ""prequel"", ""title"": ""Jishou Akuyaku Reijou na Kon'yakusha no Kansatsu Kiroku.""}]"
241,ce6ae4bc-aab9-43b6-a11a-f79aeb4bf548,Night Patrol Teacher,Night Patrol Teacher,Mizutani Osamu,Tsuchida Seiki,Philosophical; Drama; School Life; Slice of Life; Adaptation; Tragedy,seinen,completed,2004.0,safe,ja,5574,9.4663,9.235967256676332,53,2,"[{""id"": ""0bf88c35-148d-415b-9aad-9e698fad55f6"", ""relation"": ""sequel"", ""title"": ""Night Patrol Teacher Special Arc: I Can't Say Goodbye""}, {""id"": ""2de76582-2bea-423f-97f9-770918177033"", ""relation"": ""sequel"", ""title"": ""Night Patrol Teacher Hope Arc""}]"
242,4a973243-952e-44d7-a50f-883b4b7c9cc2,SSS-geup Jugeoya Saneun Hunter,SSS-Class Revival Hunter,Neida (네이다); Shin Noah (신노아),Bill K,Time Travel; Monsters; Action; Psychological; Long Strip; Romance; Comedy; Martial Arts; Adventure; Magic; Isekai; Drama; Fantasy; Web Comic; Supernatural; Adaptation; Full Color; Tragedy,,ongoing,2020.0,safe,ko,84350,9.25,9.232814576472022,504,0,[]
243,1bc97ccd-1e56-4570-a399-162d08414f66,UmaYome Uma X Tore♂ Kekkon Seikatsu Goudou,UmaYome ~Horse & Trainer Wedded Bliss~,Konoshige; Shibasaki Shouji; Yawaraka Yusen; Negahami; Himiya Jouzu; Ponjiyuusu; Sakura Nitohei; Odawara Hakone; Aosa; Siseki Hirame; Tenroku Kagekidan; Komizumiko; Yukihoshi Kokoro; Kosuke Haruhito; Yamoge; Sukeponge; Okitsugu; Ido; Taroumaru; soramuko; inu (著); Ono Misao; Momonosuke; Hitode; Kuguri Oimo; Nanahamu; Totonemigi,Konoshige; Shibasaki Shouji; Yawaraka Yusen; Negahami; Himiya Jouzu; Ponjiyuusu; Sakura Nitohei; Odawara Hakone; Aosa; Siseki Hirame; Tenroku Kagekidan; Komizumiko; Yukihoshi Kokoro; Kosuke Haruhito; Yamoge; Sukeponge; Okitsugu; Ido; Taroumaru; soramuko; inu (著); Ono Misao; Momonosuke; Hitode; Kuguri Oimo; Nanahamu; Totonemigi,Romance; Anthology; Doujinshi; Slice of Life,,completed,2022.0,safe,ja,6559,9.4115,9.231834813788097,44,1,"[{""id"": ""50d011bb-09a6-46c7-8078-7ba96558a864"", ""relation"": ""based_on"", ""title"": ""Uma Musume (Franchise)""}]"
244,ffd3aad0-7dcc-47ff-bb36-caa0b9409a2b,Gohan no Otomo,Gohan no Otomo,Tana,Tana,Slice of Life; Cooking; Full Color,seinen,completed,2013.0,safe,ja,6220,9.4132,9.231676331592956,53,0,[]
245,0c9e19cd-86cb-490c-93e9-955af41746ca,Nausicaä of the Valley of the Wind,Nausicaä of the Valley of the Wind,Miyazaki Hayao,Miyazaki Hayao,Thriller; Award Winning; Sci-Fi; Monsters; Action; Psychological; Animals; Romance; Survival; Adventure; Post-Apocalyptic; Magic; Military; Philosophical; Gore; Drama; Horror; Fantasy; Supernatural; Mystery; Tragedy,,completed,1982.0,safe,ja,5080,9.5697,9.231301597582705,12,2,"[{""id"": ""7c01fbfd-369d-4e39-a13e-8291f711a874"", ""relation"": ""alternate_story"", ""title"": ""Shuna's Journey""}, {""id"": ""bf4f9f1e-143d-4255-af5a-778cbd5d63fb"", ""relation"": ""doujinshi"", ""title"": ""Nausicaä of the Valley of the Wind - Schuppen Harnische (Doujinshi)""}]"
246,4ee5e960-6329-4e1d-b038-93e8e0d53589,Ashita no Joe,,Kajiwara Ikki,Chiba Tetsuya,Sports; Martial Arts; Philosophical; Drama; Delinquents; Slice of Life; Tragedy,shounen,completed,1968.0,suggestive,ja,5685,9.4138,9.231006770400771,18,1,"[{""id"": ""7b3d7030-9710-4347-87d0-2954b7115d54"", ""relation"": ""spin_off"", ""title"": ""Longing for Tomorrow's Joe""}]"
247,73886188-f459-4b80-8781-66a60520b420,Eotteon Gyemo-nim ui Märchen,The Fantasie of a Stepmother,Kitty&Spice,ORKA,Time Travel; Long Strip; Romance; Drama; Fantasy; Adaptation; Full Color; Tragedy,,ongoing,2019.0,safe,ko,67954,9.2545,9.229965931812352,1497,1,"[{""id"": ""001c477c-c13c-4dbd-b820-40b8068696e2"", ""relation"": ""alternate_version"", ""title"": ""Eotteon Gyemo-nim ui Märchen (Book Version)""}]"
248,10a4985d-0713-462e-a9d6-767bf91e4fd7,Helck,Helck,Nanao Nanaki,Nanao Nanaki,Monsters; Action; Demons; Magic; Drama; Fantasy,,completed,2014.0,safe,ja,22263,9.2624,9.22960051437896,117,3,"[{""id"": ""1c909da4-bb40-4f69-b221-9b73d9f0c727"", ""relation"": ""side_story"", ""title"": ""Piwi""}, {""id"": ""4e439dc4-18ef-4ee0-9629-b86e7118cb1c"", ""relation"": ""shared_universe"", ""title"": ""Acaria""}, {""id"": ""4fd4f8c0-fab8-4ee5-ab9e-5907720afed9"", ""relation"": ""shared_universe"", ""title"": ""Iken Senki Völundio""}]"
